timestamp,temp_55,temp_43,hum_43,wind_speed_43,wind_dir_43
2025-11-07 11:30:12.248427+01:00,26.33,19.56,68.4,3.58,130.0
2025-11-07 11:35:12.880297+01:00,27.78,19.67,68.9,3.13,138.0
2025-11-07 11:40:13.511733+01:00,28.22,19.83,68.5,4.02,147.0
2025-11-07 11:45:14.101271+01:00,24.33,19.83,68.4,4.02,90.0
2025-11-07 11:50:14.729176+01:00,23.56,19.83,68.1,4.02,134.0
2025-11-07 11:55:15.344900+01:00,24.33,19.72,68.4,1.34,182.0
2025-11-07 12:00:15.931942+01:00,23.67,19.89,68.3,2.24,196.0
2025-11-07 12:05:16.522437+01:00,22.78,19.89,68.1,2.68,196.0
2025-11-07 12:10:17.094351+01:00,23.28,19.89,68.3,2.68,205.0
2025-11-07 12:15:17.720309+01:00,22.78,19.89,68.6,1.34,167.0
2025-11-07 12:20:18.321150+01:00,23.67,20.0,68.4,3.13,202.0
2025-11-07 12:25:18.953235+01:00,23.28,20.0,68.4,3.58,28.0
2025-11-07 12:30:19.572502+01:00,22.89,19.94,68.5,1.79,109.0
2025-11-07 12:35:20.190079+01:00,22.78,20.0,68.5,3.13,126.0
2025-11-07 12:40:20.772540+01:00,21.83,19.83,70.4,2.68,102.0
2025-11-07 12:45:21.341886+01:00,22.28,19.39,71.5,2.24,22.0
2025-11-07 12:50:21.950496+01:00,22.22,19.22,71.9,5.36,22.0
2025-11-07 12:55:22.558063+01:00,21.94,19.22,71.7,3.58,34.0
2025-11-07 13:00:23.174358+01:00,21.56,19.0,72.9,6.26,28.0
2025-11-07 13:05:23.801084+01:00,20.61,18.44,77.8,7.15,28.0
2025-11-07 13:10:24.368970+01:00,20.33,17.78,82.0,4.47,53.0
2025-11-07 13:15:24.951617+01:00,20.61,17.61,84.1,1.79,108.0
2025-11-07 13:20:25.531493+01:00,20.72,17.61,85.4,2.24,198.0
2025-11-07 13:25:26.124879+01:00,21.0,17.56,85.6,1.79,163.0
2025-11-07 13:30:26.703872+01:00,21.17,17.61,86.3,1.34,194.0
2025-11-07 13:35:27.289570+01:00,21.28,17.72,86.3,1.79,159.0
2025-11-07 13:40:27.895324+01:00,21.17,17.89,85.6,2.24,198.0
2025-11-07 13:45:28.538513+01:00,21.17,18.17,83.3,2.24,190.0
2025-11-07 13:50:29.103805+01:00,21.56,18.5,81.1,1.79,165.0
2025-11-07 13:55:30.110253+01:00,22.0,18.94,79.8,2.24,148.0
2025-11-07 14:00:30.781467+01:00,22.11,19.28,77.7,3.13,128.0
2025-11-07 14:05:31.378617+01:00,22.11,19.44,76.5,1.34,207.0
2025-11-07 14:10:31.947913+01:00,21.72,19.56,75.7,3.13,79.0
2025-11-07 14:15:32.610107+01:00,21.17,19.5,75.5,3.58,22.0
2025-11-07 14:20:33.161091+01:00,21.33,19.56,75.4,1.34,66.0
2025-11-07 14:25:33.740153+01:00,21.61,19.72,74.6,3.13,120.0
2025-11-07 14:30:34.361036+01:00,22.22,19.83,74.8,2.24,161.0
2025-11-07 14:35:34.979120+01:00,22.94,19.94,74.7,1.79,215.0
2025-11-07 14:40:35.601785+01:00,22.22,20.0,74.3,3.58,201.0
2025-11-07 14:45:36.218303+01:00,21.56,19.94,74.6,1.34,194.0
2025-11-07 14:50:36.850783+01:00,21.33,19.94,74.7,1.79,80.0
2025-11-07 14:55:37.458354+01:00,22.61,19.94,74.9,0.89,83.0
2025-11-07 15:00:38.043938+01:00,23.67,20.17,73.6,0.89,331.0
2025-11-07 15:05:38.659983+01:00,23.06,20.39,70.5,3.58,84.0
2025-11-07 15:10:39.310945+01:00,23.17,20.61,69.3,4.02,194.0
2025-11-07 15:15:39.897223+01:00,23.06,20.67,68.6,4.02,180.0
2025-11-07 15:20:40.524264+01:00,23.17,20.5,69.0,3.13,117.0
2025-11-07 15:25:41.123657+01:00,22.89,20.5,69.8,1.79,202.0
2025-11-07 15:30:41.752537+01:00,22.22,20.44,70.6,3.13,74.0
2025-11-07 15:35:42.333706+01:00,22.22,20.17,71.6,3.58,121.0
2025-11-07 15:40:42.942982+01:00,22.94,19.89,73.6,4.02,36.0
2025-11-07 15:45:43.575201+01:00,23.06,19.78,74.3,4.47,28.0
2025-11-07 15:50:44.206981+01:00,22.89,19.72,74.7,3.13,42.0
2025-11-07 15:55:44.834615+01:00,23.28,19.83,74.4,4.92,22.0
2025-11-07 16:00:45.495956+01:00,22.28,19.78,74.6,4.92,45.0
2025-11-07 16:05:46.182493+01:00,22.28,19.94,74.0,2.24,27.0
2025-11-07 16:10:46.792653+01:00,22.67,20.06,73.3,1.34,167.0
2025-11-07 16:15:47.384275+01:00,22.5,20.28,73.6,2.24,171.0
2025-11-07 16:20:47.998803+01:00,22.39,20.28,74.4,4.02,147.0
2025-11-07 16:25:48.624021+01:00,22.22,20.17,75.1,3.58,173.0
2025-11-07 16:30:49.285245+01:00,21.94,20.06,75.2,4.02,138.0
2025-11-07 16:35:49.846386+01:00,21.94,20.17,75.4,2.24,166.0
2025-11-07 16:40:50.501495+01:00,21.94,20.22,73.4,1.79,108.0
2025-11-07 16:45:51.122591+01:00,21.44,20.17,72.8,4.02,360.0
2025-11-07 16:50:51.709265+01:00,21.44,20.17,71.7,4.47,17.0
2025-11-07 16:55:52.360314+01:00,21.44,20.17,71.7,4.02,22.0
2025-11-07 17:00:52.995761+01:00,21.33,20.11,72.0,4.47,22.0
2025-11-07 17:05:53.597815+01:00,20.89,19.94,73.6,4.92,360.0
2025-11-07 17:10:54.270629+01:00,20.17,19.39,76.0,6.71,43.0
2025-11-07 17:15:54.861554+01:00,19.78,18.56,80.3,5.36,35.0
2025-11-07 17:20:55.489011+01:00,19.67,18.22,82.7,4.02,30.0
2025-11-07 17:25:56.081595+01:00,19.67,18.06,84.8,2.68,93.0
2025-11-07 17:30:56.692505+01:00,20.06,18.06,86.0,0.89,49.0
2025-11-07 17:35:57.294888+01:00,19.89,18.0,86.0,1.79,45.0
2025-11-07 17:40:57.980487+01:00,19.78,18.0,86.8,0.89,69.0
2025-11-07 17:45:58.615138+01:00,19.78,18.06,87.3,1.34,22.0
2025-11-07 17:50:59.281497+01:00,19.89,18.11,87.9,0.45,215.0
2025-11-07 17:55:59.979995+01:00,19.67,18.17,87.6,0.89,225.0
